dt,land_average_temperature,land_average_temperature_uncertainty,land_max_temperature,land_max_temperature_uncertainty,land_min_temperature,land_min_temperature_uncertainty,land_and_ocean_average_temperature,land_and_ocean_average_temperature_uncertainty
01/01/14,4.1052,0.0825,10.2597,0.1518,-1.9305,0.1001,15.5496,0.0704
01/02/14,3.85,0.0748,10.0606,0.0803,-2.288,0.1045,15.5727,0.0715
01/03/14,7.0158,0.1078,13.6037,0.1188,0.4796,0.1529,16.599,0.0748
01/04/14,10.5479,0.1221,17.0819,0.099,3.9787,0.2123,17.6418,0.0759
01/05/14,13.8402,0.0748,20.1982,0.1738,7.2743,0.1826,18.4844,0.0649
01/06/14,15.7685,0.1056,22.1386,0.1045,9.3203,0.1727,19.0333,0.0704
01/07/14,16.3603,0.0858,22.7821,0.1001,10.0232,0.1485,19.2588,0.0671
01/08/14,16.3625,0.1265,22.869,0.1078,9.9517,0.1903,19.3677,0.0704
01/09/14,14.4001,0.0946,20.7515,0.1166,8.1389,0.1705,18.6725,0.0649
01/10/14,11.363,0.0836,17.6726,0.1221,5.1579,0.1386,17.6319,0.0649
01/11/14,7.3843,0.1331,13.5124,0.1364,1.4443,0.1265,16.3889,0.0704
01/12/14,5.335,0.099,11.209,0.1628,-0.3641,0.1353,15.851,0.0682
01/01/15,4.2691,0.143,10.3752,0.099,-1.6698,0.1067,15.6805,0.0726
01/02/15,5.1304,0.1331,11.5467,0.1012,-1.2518,0.1243,16.0204,0.0737
01/03/15,7.414,0.066,13.9249,0.1056,0.9834,0.0869,16.7123,0.0671
01/04/15,10.2443,0.0968,16.7464,0.1507,3.7422,0.1617,17.5582,0.0671
01/05/15,13.5432,0.0891,19.9991,0.1287,6.9443,0.1683,18.4514,0.0638
01/06/15,15.9555,0.0748,22.4004,0.1463,9.4897,0.1848,19.129,0.0627
01/07/15,16.5561,0.0946,22.9944,0.1199,10.2586,0.2475,19.3721,0.0638
01/08/15,16.2305,0.0792,22.7689,0.121,9.9055,0.187,19.3479,0.0627
01/09/15,14.2989,0.0869,20.7295,0.0968,7.9189,0.2519,18.7539,0.0638
01/10/15,11.8811,0.1122,18.095,0.0649,5.7552,0.1265,17.919,0.0682
01/11/15,8.1763,0.1309,14.1812,0.1023,2.3727,0.1166,16.7772,0.0693
01/12/15,6.0698,0.11,11.7975,0.1694,0.3157,0.1089,16.2514,0.0682
01/01/16,4.1052,0.0825,10.2597,0.1518,-1.9305,0.1001,15.5496,0.0704
01/02/16,3.85,0.0748,10.0606,0.0803,-2.288,0.1045,15.5727,0.0715
01/03/16,7.0158,0.1078,13.6037,0.1188,0.4796,0.1529,16.599,0.0748
01/04/16,10.5479,0.1221,17.0819,0.099,3.9787,0.2123,17.6418,0.0759
01/05/16,13.8402,0.0748,20.1982,0.1738,7.2743,0.1826,18.4844,0.0649
01/06/16,15.7685,0.1056,22.1386,0.1045,9.3203,0.1727,19.0333,0.0704
01/07/16,16.3603,0.0858,22.7821,0.1001,10.0232,0.1485,19.2588,0.0671
01/08/16,16.3625,0.1265,22.869,0.1078,9.9517,0.1903,19.3677,0.0704
01/09/16,14.4001,0.0946,20.7515,0.1166,8.1389,0.1705,18.6725,0.0649
01/10/16,11.363,0.0836,17.6726,0.1221,5.1579,0.1386,17.6319,0.0649
01/11/16,7.3843,0.1331,13.5124,0.1364,1.4443,0.1265,16.3889,0.0704
01/12/16,5.335,0.099,11.209,0.1628,-0.3641,0.1353,15.851,0.0682
